alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
entrées et plats composés;Soupe aux légumes variés, préemballée à réchauffer;39,4;90,2;0,76;5,05;1,56;1,72;2,2;1,1;1;0;2,2519;0,55;3,7;0,69;0,14;5,3;110;0;0,62;2,53;5,75;0,29;0,062;0,31;0,33;0,16;39,8;0,052
entrées et plats composés;Soupe de poissons et / ou crustacés, préemballée à réchauffer;42,8;89,4;3,45;2,88;1,79;0,9;1,7;0,69;1,66;0;3,193;0,58;30;0,86;0,61;11;110;< 0,2;0,32;0,93;< 0,5;0,03;0,039;0,63;0,18;0,032;< 5;1,35
entrées et plats composés;Soupe aux légumes variés, déshydratée reconstituée;34,5;90,9;0,86;4,43;1,22;1,07;2,6;1,16;1,02;0;1,8585;0,39;2,12;0,69;0,19;7;60;0;0,19;2,42;3,28;0,05;0,24;0,13;0,12;0,044;8,4;0,029
entrées et plats composés;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;37,1;90,8;0,79;4,46;1,51;0,81;3,2;1,28;0,97;0;2,79;0,6;4,73;0,73;0,17;5,6;94;-;0,28;9,13;7,95;0,01;0,03;0,23;0,14;0,23;29,3;0,045
entrées et plats composés;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;30,8;93,8;1,3;3,86;1;0,77;-;0,56;1,01;0;1,219;0,49;5;0,82;0,14;7,93;30,5;0;0,03;0;-;0,055;0,045;0,54;0,074;0,02;2;0,02
entrées et plats composés;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;4,8;98,1;0,2;0,1;0,4;0;0,1;0;1,09;0;0,34;0,2;0;1,08;0,1;2;15;-;-;-;0;0,06;0,01;0;0,02;0,01;12;0,05
entrées et plats composés;Soupe à l'oignon, préemballée à réchauffer;40,4;92,7;1,35;4,93;1,4;1,5;-;1,34;1,27;0;0,913;0,55;0;0,79;0,27;1;28;0;0,11;0,2;0,5;0,013;0,01;0,24;0;0,02;6;0
entrées et plats composés;Soupe aux champignons, préemballée à réchauffer;48,2;92;0,81;4,09;3,07;0,91;-;0,52;1;0;4,6617;1,58;3,3;0,78;0,09;2;62;0,1;0,24;9,6;-;0,006;0,008;0,17;0,072;0,007;1;0
entrées et plats composés;Soupe à la carotte, préemballée à réchauffer;33,2;91,2;0,61;3,89;1,41;1,82;2,08;1,22;1,05;0;1,349;0,96;-;0,65;0,3;7;140;-;-;-;11;0,05;-;0,65;-;0,08;9;-
entrées et plats composés;Soupe à la tomate, préemballée à réchauffer;38,7;90,3;0,74;6,27;0,99;2,95;1,8;0,88;0,98;0;1,7658;0,36;2,9;0,64;0,14;5,9;130;0,6;0,69;1,01;6,4;0,01;0,056;0,58;0,2;0,2;23,8;0,01
entrées et plats composés;Soupe chorba frik, à base de viande et de frik;62,9;85,1;3,75;5,4;2,5;0,9;3,9;1,9;1,2;0;0;-;11;0,84;0,97;17;157;0,02;0,6;-;3,2;0,03;0,04;0,96;0,18;0,07;16;0,11
entrées et plats composés;Soupe minestrone, préemballée à réchauffer;48,8;89,4;1,2;5,6;2;1,7;-;1,8;1;0;1,685;0,6;1,5;0,75;0,56;12,5;106;0;0,67;3,2;1,25;0,023;0,034;0,44;0,22;0,071;10;0
