alim_grp_nom;alim_nom;energie;eau;protéines;glucides;lipides;sucre;amidon;fibre;cendres;alcool;acides gras;ag saturés;cholestérol (mg/100 g);sel;fer (mg/100 g);magnésium (mg/100 g);potassium (mg/100 g);vitamine D (µg/100 g);vitamine E (mg/100 g);vitamine K1 (µg/100 g);vitamine C (mg/100 g);vitamine B1 (mg/100 g);vitamine B2 (mg/100 g);vitamine B3 (mg/100 g);vitamine B5 (mg/100 g);vitamine B6 (mg/100 g);vitamine B9 (µg/100 g);vitamine B12 (µg/100 g)
fruits, légumes, légumineuses et oléagineux;"Purée de pommes, type ""compote sans sucres ajoutés""";56,4;85,1;1,13;11,7;< 0,3;11,7;-;1,7;< 0,25;0;0;-;-;< 0,013;0,1;4,2;110;< 0,25;0,4;< 0,8;9,86;< 0,015;< 0,01;< 0,1;0,085;0,035;6,29;-
fruits, légumes, légumineuses et oléagineux;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);-;-;0,8;25,1;0,54;25,1;0;3,46;0,29;0;0;< 0,051;0;0,014;0,71;14,5;204;0;0,45;-;60,9;0,024;0,067;0,33;0,22;0,055;34,6;0
fruits, légumes, légumineuses et oléagineux;Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen);;81;0,5;16,2;0,25;15,3;;1,4;0,35;0;0,003;;;0,03;0,13;5,3;130;;;0,4;0,25;0,7;0,005;0,11;0,071;0,02;9,3;
fruits, légumes, légumineuses et oléagineux;Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen);;81,6;0,25;16,2;0,25;13,2;;2,02;0,13;0;0,01;;;0,022;0,11;4,24;70,3;;;0,64;2,91;0,035;0,005;0,05;0,037;0,017;10,8;
fruits, légumes, légumineuses et oléagineux;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;-;80,4;< 0,5;17,4;< 0,5;13,8;-;2,1;< 0,25;0;0;-;-;0,032;0,08;4;75;-;-;< 0,8;0,98;0,041;< 0,01;< 0,1;0,038;0,025;10,9;-
fruits, légumes, légumineuses et oléagineux;Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;-;79,9;< 0,5;18,3;< 0,5;14,3;-;1,26;0,2;0;0;-;-;0,003;0,072;3,76;67;-;-;< 0,8;0,59;0,039;< 0,01;< 0,1;0,031;0,024;11;-
fruits, légumes, légumineuses et oléagineux;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;-;83,5;< 0,5;14,4;< 0,5;12,2;-;1,9;< 0,25;0;0;-;-;0,0083;0,15;4,6;63;-;-;1,01;5,87;0,025;< 0,01;< 0,1;0,034;< 0,01;10,6;-
fruits, légumes, légumineuses et oléagineux;Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;-;84;< 0,5;14,5;0,061;12,3;0,58;1,18;0,21;0;0,057;0,009;0;0,0026;0,13;4,37;61,1;0;-;0,63;6,1;0,016;< 0,01;< 0,1;0,033;< 0,01;9,96;0
fruits, légumes, légumineuses et oléagineux;Abricot au sirop léger, appertisé, égoutté;-;83;0,94;13,7;< 0,5;13,3;-;1,4;0,5;0;0;-;-;0,024;0,12;4,9;140;-;-;< 0,8;2,19;0,7;< 0,01;< 0,1;0,12;0,017;6,85;-
fruits, légumes, légumineuses et oléagineux;Abricot au sirop léger, appertisé, non égoutté;-;83,5;0,81;14;0,043;14;-;0,83;0,43;0;0,037;0,003;0;0,025;0,1;4,74;136;0;0,6;< 0,8;2,28;0,68;< 0,01;< 0,1;0,11;0,017;6,98;0
fruits, légumes, légumineuses et oléagineux;Abricot au sirop, appertisé, égoutté;-;81;0,5;16,2;< 0,5;15,3;-;1,4;0,35;0;0;-;-;0,03;0,13;5,3;130;-;-;< 0,8;< 0,5;0,7;< 0,01;0,11;0,071;0,02;9,3;-
fruits, légumes, légumineuses et oléagineux;Abricot au sirop, appertisé, non égoutté;-;81,4;0,29;16,6;< 0,5;15,1;-;0,81;0,35;0;0;-;-;0,03;0,11;4,8;114;-;-;< 0,8;< 0,5;-;< 0,01;0,12;0,073;0,036;9,89;-
fruits, légumes, légumineuses et oléagineux;Ananas au jus d'ananas, égoutté, appertisé;-;84,5;< 0,5;13,6;< 0,5;12,8;-;1,4;< 0,25;0;0;-;-;-;0,19;12;130;-;-;< 0,8;4,99;0,063;< 0,01;2,2;0,067;0,076;13,5;-
fruits, légumes, légumineuses et oléagineux;Ananas au jus d'ananas, appertisé, non égoutté;-;84,9;< 0,5;13,6;< 0,5;12,6;-;0,92;0,31;0;0;-;-;0,00049;0,19;11,7;127;-;-;< 0,8;4,98;0,063;< 0,01;1,44;0,061;0,064;12,9;-
fruits, légumes, légumineuses et oléagineux;Ananas au sirop léger, appertisé, égoutté;-;82;< 0,5;15,9;< 0,5;15,9;-;1,6;< 0,25;0;0;-;-;0,0048;0,13;11;95;-;-;< 0,8;5,22;0,034;< 0,01;< 0,1;0,04;0,046;11,9;-
fruits, légumes, légumineuses et oléagineux;Ananas au sirop léger, appertisé, non égoutté;-;82,4;< 0,5;16;0,078;15,7;-;1,01;0,22;0;0,07;0,009;0;0,0047;0,12;11,4;101;0;0,01;< 0,8;5,11;0,037;< 0,01;< 0,1;0,03;0,029;11,8;0
fruits, légumes, légumineuses et oléagineux;Pêche au sirop léger, appertisée, égouttée;-;83,9;0,5;13,8;< 0,5;13,1;-;1,5;< 0,25;0;0;-;-;0,033;0,13;5;100;-;-;< 0,8;2,78;< 0,01;< 0,01;0,37;0,071;< 0,01;8,4;-
fruits, légumes, légumineuses et oléagineux;Pêche au sirop léger, appertisée, non égouttée;-;84,3;0,31;14,1;0,038;12,9;-;0,92;0,22;0;0,033;0,003;0;0,0022;0,13;4,88;100;0;0,49;< 0,8;3,32;< 0,01;< 0,01;0,35;0,063;< 0,01;8,4;0
fruits, légumes, légumineuses et oléagineux;Poire au sirop léger, appertisée, égouttée;64,9;82,3;< 0,5;13,9;0,4;11,5;-;2,6;< 0,25;0;0;-;-;< 0,013;< 0,05;4;69;< 0,25;0,31;< 0,8;0,85;< 0,015;< 0,01;< 0,1;0,038;0,011;< 5;-
fruits, légumes, légumineuses et oléagineux;Poire au sirop léger, appertisée, non égouttée;-;83,7;0,3;14,5;0,12;12,1;-;1,23;0,16;0;0,016;0,002;0;0,013;0,28;4;66;0;0,08;0,3;0,7;0,01;0,016;0,15;0,022;0,014;1;0
fruits, légumes, légumineuses et oléagineux;Abricot, dénoyauté, sec;239;24,7;2,88;59,1;0,5;34,3;< 0,35;8,3;2,51;0;0,92;0,19;0;< 0,013;1,4;41;1400;< 0,25;5,52;< 0,8;< 0,5;< 0,015;< 0,01;1,12;0,69;0,48;8,85;0
fruits, légumes, légumineuses et oléagineux;Datte, pulpe et peau, sèche;-;22,9;1,81;64,7;0,25;64,7;-;7,3;1,76;0;0,3288;0,075;0;0,098;0,9;47,3;696;0;0,46;2,7;3;0,04;0,075;1,41;0,79;0,19;18;0
fruits, légumes, légumineuses et oléagineux;Figue, sèche;-;30,1;2,99;54,3;0,87;49,2;5,07;9,72;2,11;0;1,3775;0,35;0;0,22;2,12;52,5;845;0;0,35;15,6;1,2;0,085;0,096;0,68;0,43;0,11;9;0
fruits, légumes, légumineuses et oléagineux;Pruneau, sec;229;34,9;1,63;55,4;0,4;38,1;< 0,35;5,1;1,72;0;0,7;0,16;0;< 0,013;0,38;30;610;< 0,25;0,41;12,8;< 0,5;0,029;0,034;0,43;0,38;0,25;< 5;0
fruits, légumes, légumineuses et oléagineux;Raisin, sec;321;16;3;73,2;0,9;70,3;0,5;4,2;2,5;0;1,64;0,31;0;0,013;1,7;35;960;< 0,25;1,67;12,6;< 0,5;0,075;< 0,01;0,53;0,084;0,061;82;0,012
fruits, légumes, légumineuses et oléagineux;Mélange apéritif de fruits exotiques, sec;389;11,7;2,19;69,5;10,5;59,4;6,6;3,4;1,41;0;20,04;9,16;0;0,22;1,1;39;530;< 0,25;0,69;7,52;0,69;0,039;< 0,01;< 0,1;0,25;0,077;19,1;0
fruits, légumes, légumineuses et oléagineux;Banane, pulpe, sèche;-;3;3,89;78,4;1,81;47,3;-;9,9;3,02;0;1,703;0,7;0;0,0075;1,15;108;1490;0;0,39;2;7;0,18;0,24;2,8;-;0,44;14;0
fruits, légumes, légumineuses et oléagineux;Pomme, sèche;-;31,8;0,78;57,2;0,31;54,6;-;8,7;1,1;0;0,41636;0,058;0;0,22;1,4;10,5;450;0;0,53;3;3,9;0,065;0,13;0,76;0,27;0,13;0;0
fruits, légumes, légumineuses et oléagineux;Pêche, sèche;-;7,5;5;68,9;1;-;-;14,3;3,4;0;1,655;0,092;0;0,2;6,8;80;945;0;-;-;4,8;0,002;0,065;1,3;0,3;0,15;14;0
fruits, légumes, légumineuses et oléagineux;Canneberge ou cranberry, séchée, sucrée;333;14,6;< 0,5;76,4;1;72,8;< 0,35;5,7;< 0,25;0;1,8;0,2;0;< 0,013;0,16;3,9;58;< 0,25;1,92;5,09;< 0,5;< 0,015;< 0,01;< 0,1;0,19;0,43;< 5;0
fruits, légumes, légumineuses et oléagineux;Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);200;39,3;2,31;51,1;0,4;29,9;< 0,35;3,5;1,96;0;0,71;0,16;-;< 0,013;0,86;32;980;< 0,25;3,45;< 0,8;< 0,5;< 0,015;< 0,01;0,46;0,43;0,51;7,59;-
fruits, légumes, légumineuses et oléagineux;Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique;-;84,5;0,28;13,3;0,1;7,3;-;1,8;0,06;0;0;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Abricot pays, pulpe, cru, prélevé à la Martinique;-;85,4;0,48;10,8;0,05;3,7;-;3,1;0,17;0;0;-;-;-;traces;-;-;-;-;-;-;-;-;-;-;-;12,7;-
fruits, légumes, légumineuses et oléagineux;Ananas, pulpe, cru , prélevé à la Martinique;-;83,4;0,56;-;0;-;-;-;0,4;0;0;-;-;-;-;-;-;-;-;-;38,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Caïmite, pulpe, cru, prélevé à la Martinique;-;80,3;0,31;-;2,87;-;-;-;0,38;0;0;-;-;-;-;-;-;-;-;-;5,6;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Cerise acérola, pulpe, crue, prélevée à la Martinique;-;93,1;0,56;-;0,097;-;-;-;0,25;0;0;-;-;-;-;-;-;-;-;-;2850;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Chadèque, pulpe, cru, prélevé à la Martinique;-;90,6;0,48;-;0,3;-;-;-;0,45;0;0;-;-;-;-;-;-;-;-;-;44,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Chips d'abricot pays, pulpe, prélevé à la Martinique;-;5,13;0,96;68,7;18,7;33,3;-;6,2;0,28;0;0;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Goyave, pulpe, purée, prélevée à la Martinique;-;88,5;0,83;-;0,0067;-;-;-;0,56;0;0;-;-;-;-;-;-;-;-;-;492;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de carambole, prélevé à la Martinique, jus filtré;-;91,6;4,52;-;0,15;-;-;-;0,19;0;0;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de carambole, prélevée à la Martinique, jus non filtré;-;90,4;0,063;-;0,03;-;-;-;0,29;0;0;-;-;-;-;-;-;-;-;-;14,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique;-;92;0,48;-;0,14;-;-;-;0,4;0;0;-;-;-;-;-;-;-;-;-;23,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique;-;91,4;0,69;-;0,46;-;-;-;0,053;0;0;-;-;-;-;-;-;-;-;-;23,7;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de corossol, prélevé à la Martinique;-;84;0,65;-;0,43;-;-;-;0,41;0;0;-;-;-;-;-;-;-;-;-;16,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus;-;84,4;1,08;-;0,37;-;-;-;2,08;0;0;-;-;-;-;-;-;-;-;-;54,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de grenade, prélevée à la Martinique;-;87;0,69;-;0;-;-;-;0,85;0;0;-;-;-;-;-;-;-;-;-;19,8;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de lime, pur jus, prélevé à la Martinique;-;92,4;0,35;-;0,57;-;-;-;0,32;0;0;-;-;-;-;-;-;-;-;-;18,5;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique;-;-;-;-;-;9,4;-;< 0,5;-;0;0;-;-;-;-;-;-;-;-;-;27,7;-;-;-;-;-;59,5;-
fruits, légumes, légumineuses et oléagineux;Jus de mandarine commune, pur jus filtré, prélevée à la Martinique;-;90;0,61;8,63;0,57;8,63;-;< 0,5;0,1;0;0;-;-;-;-;-;102;-;-;-;26,7;-;-;-;-;-;39,9;-
fruits, légumes, légumineuses et oléagineux;Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique;-;88,2;0,6;10,8;0;3,87;-;< 0,5;0,31;0;0;-;-;-;-;-;199;-;-;-;6;-;-;-;-;-;31,3;-
fruits, légumes, légumineuses et oléagineux;Jus de moubin, pur jus, prélevé à la Martinique;-;85,5;0,88;-;0,19;-;-;-;0,69;0;0;-;-;-;-;-;-;-;-;-;10,1;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique;-;92,3;0,42;-;0,19;-;-;-;0,42;0;0;-;-;-;-;-;-;-;-;-;35,6;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique";-;91,1;0,29;7,13;0,19;4,34;2,45;1;0,24;0;0;-;-;-;-;-;-;-;-;-;16,5;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique";-;91,7;0,44;6,55;0,28;0,03;1,77;0,8;0,27;0;0;-;-;-;-;-;-;-;-;-;21,1;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique";-;87,8;0,69;9,97;0,21;6,14;1,11;0,9;0,47;0;0;-;-;-;-;-;-;-;-;-;34,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique";-;91,6;0,67;6,34;0,26;0,19;1,41;0,8;0,35;0;0;-;-;-;-;-;-;-;-;-;45,5;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique;-;-;-;-;-;17,4;-;0,7;-;0;0;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;33,5;-
fruits, légumes, légumineuses et oléagineux;Mango bassignac, pulpe, cru, prélevé à la Martinique;-;77,3;0,32;18,5;traces;-;4,5;3,2;0,64;0;0;-;-;-;-;-;-;-;-;-;23,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Mango moussache, pulpe, cru, prélevé à la Martinique;-;75,5;1,28;20,9;traces;-;3,7;2;0,34;0;0;-;-;-;-;-;-;-;-;-;8,1;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Mangue julie, pulpe, crue, prélevée à la Martinique;-;77,8;0,71;18,3;traces;-;6;2,8;0,37;0;0;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Mangue verte, pulpe, crue, prélevée à la Martinique;-;82,1;1,31;12,2;traces;-;0,9;3,4;0,96;0;0;-;-;-;-;-;-;-;-;-;17,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Melon, pulpe, cru, prélevé à la Martinique;-;87;1,08;-;0,047;-;-;-;0,79;0;0;-;-;-;-;-;-;-;-;-;27,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Orange (variété locale), pulpe, prélevée à la Martinique;-;90,2;0,6;-;0,67;-;-;-;0,29;0;0;-;-;-;-;-;-;-;-;-;41,2;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Orange amère, pulpe, crue, prélevée à la Martinique;-;91,6;0,73;-;0,43;-;-;-;0,23;0;0;-;-;-;-;-;-;-;-;-;44,5;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Pastèque, pulpe, crue, prélevée à la Martinique;-;91,5;0,77;-;0,26;-;-;-;0,29;0;0;-;-;-;-;-;-;-;-;-;7,87;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Pomme cajou, pulpe, crue, prélevée à la Martinique;-;88,5;0,79;-;0,11;-;-;-;0,36;0;0;-;-;-;-;-;-;-;-;-;556;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Pomme cannelle,  pulpe, crue, prélevée à la Martinique;-;67,2;1,48;-;0,57;-;-;-;0,7;0;0;-;-;-;-;-;-;-;-;-;11,5;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique;-;91,1;0,44;-;0,023;-;-;-;0,34;0;0;-;-;-;-;-;-;-;-;-;0,33;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Pomme liane, pulpe, crue, prélevée à la Martinique;-;82,6;0,88;-;0,22;-;0;-;1,17;0;0;-;-;-;-;-;-;-;-;-;41,4;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique;-;86,5;0,54;-;0,03;-;3,6;-;0,36;0;0;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique;-;89,6;0,6;-;0,07;-;3;-;0,45;0;0;-;-;-;-;-;-;-;-;-;23,9;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Jacques, pulpe, cru, prélevé à la Martinique;-;69,9;1,98;-;0,21;-;-;-;0,71;0;0;-;-;-;-;-;-;-;-;-;13,6;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.);88,8;77,1;0,75;19,3;0,5;18,4;0,5;1,8;0,37;0;0,81;0,18;-;< 0,013;0,12;14;150;-;1,96;1,58;2,9;0,033;0,015;0,74;0,2;0,13;9,95;-
fruits, légumes, légumineuses et oléagineux;Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen);71,8;81,3;0,94;15,1;< 0,3;14,9;< 0,35;2,4;0,47;0;0;< 0,01;-;< 0,013;0,17;15;130;-;< 0,08;< 0,8;18,3;0,084;0,022;0,23;0,19;0,055;25,4;-
fruits, légumes, légumineuses et oléagineux;Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);40;88,6;0,56;7,88;< 0,3;7,7;< 0,35;2,2;0,5;0;0;< 0,01;-;< 0,013;0,16;12;240;-;0,22;< 0,8;68;< 0,015;< 0,01;0,32;0,26;< 0,01;50,1;-
fruits, légumes, légumineuses et oléagineux;Farine de châtaigne;-;5,52;5,69;70,4;3,43;-;46,9;12,6;2,34;0;4,0925;0,52;-;-;< 0,1;67,9;-;-;-;-;16;-;-;2,1;1,53;0,58;215;-
fruits, légumes, légumineuses et oléagineux;Amande (avec peau);-;4,8;18,8;9,51;51,3;4,2;< 0,35;12,5;3,14;0;96,87;4,11;0;< 0,013;3,4;270;800;< 0,25;22,3;< 0,8;< 0,5;0,15;0,29;1,97;0,62;0,07;120;0
fruits, légumes, légumineuses et oléagineux;Cacahuète ou Arachide;-;2,2;22,8;14,8;49,1;5,9;5;8,6;2,46;0;90,36;8,4;0;0,022;1,6;190;700;0;2,46;< 0,8;< 0,5;0,43;0,024;10,6;1,76;0,4;89,3;0
fruits, légumes, légumineuses et oléagineux;Cacahuète, grillée, salée;-;1,22;22,9;15;50;4,22;8,87;8,04;2,85;0;86,81;8,64;0;1,33;1,2;169;531;0;2,5;0;< 0,5;0,14;0,069;12,4;1,17;0,43;66,6;0
fruits, légumes, légumineuses et oléagineux;Noisette;-;7,3;14,4;7,16;56,9;4,9;< 0,35;11,6;2,62;0;107,8;4,75;0;< 0,013;3;160;860;< 0,25;16,3;< 0,8;< 0,5;0,35;0,088;0,71;1,64;0,21;65,2;0
fruits, légumes, légumineuses et oléagineux;Noix, séchée, cerneaux;-;4;13,3;6,88;67,3;3;< 0,35;6,7;1,81;0;127,49;6,45;0;< 0,13;2,2;140;430;< 0,25;1,67;2,4;0,77;0,3;0,05;0,4;0,67;0,19;120;< 0,08
fruits, légumes, légumineuses et oléagineux;Noix de coco, amande mûre, fraîche;-;47;3,33;6,22;33,5;6,22;0;9;0,97;0;57,38;29,7;0;0,05;2,43;32;356;0;0,24;0,2;3,3;0,066;0,02;0,54;0,3;0,054;26;-
fruits, légumes, légumineuses et oléagineux;Noix de coco, amande, sèche;-;2,65;6,62;8,55;66,3;6,64;-;14;1,89;0;122,73;57,7;0;0,064;3,46;90;647;0;0,44;0,3;1,5;0,048;0,07;0,6;0,5;0,17;16,5;0
fruits, légumes, légumineuses et oléagineux;Noix du Brésil;-;3,01;14,8;6,17;66,1;2,33;0,25;6,4;3,57;0;123,515;16;0;0,0075;2,47;367;591;0;5,33;0;0,7;0,87;0,035;0,25;0,21;0,1;13;0
fruits, légumes, légumineuses et oléagineux;Pistache, grillée, salée;-;2,09;18,9;15,9;49,5;7,57;3,23;9,32;4,29;0;91,182;6,58;0;1,67;2,4;105;655;0;1,09;13,2;< 0,5;0,67;0,17;1,2;0,43;1,41;94,2;0
fruits, légumes, légumineuses et oléagineux;Sésame, graine;-;3,48;17,6;9,85;49,7;0,3;0,4;14,9;4,48;0;94,935;7,09;0;< 0,1;14,6;324;468;0;0,25;0;0;0,79;0,25;4,52;0,05;0,79;97;0
fruits, légumes, légumineuses et oléagineux;Tournesol, graine;-;3,38;21,3;10,1;55,5;2,62;3,8;6,4;3,39;0;85,933;6,23;0;0,014;4,9;364;578;0;42,3;0;1,4;1,98;0,16;4,8;0,83;1,24;254;0
fruits, légumes, légumineuses et oléagineux;Crème de marrons;-;33,3;1,28;55;0,67;-;11,5;1,3;0,48;0;0;-;-;-;-;-;-;-;-;-;10,3;-;-;-;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Noix de coco, amande immature, fraîche;-;47;3,33;6,22;33,5;6,22;-;9;0,97;0;61,24;29,7;0;0,05;2,43;32;356;0;0,24;0,2;3,3;0,066;0,02;0,54;0,3;0,054;26;0
fruits, légumes, légumineuses et oléagineux;Crème de marrons vanillée, appertisée;-;34,6;0,96;59,8;0,7;43;16,8;3,2;0,43;0;0;0;-;< 0,01;1,7;12,2;174;-;-;-;2,27;-;-;-;-;-;30;-
fruits, légumes, légumineuses et oléagineux;Mélange apéritif de graines salées et raisins secs;560;5,3;16,6;27,1;39,6;21,6;3,7;8,4;2,77;0;73,29;4,98;-;0,42;2,1;160;700;< 0,25;8,47;5,47;< 0,5;0,062;0,044;4,08;1,1;0,17;49,5;-
fruits, légumes, légumineuses et oléagineux;Noix de cajou, grillée, salée;-;1,51;15,2;26,7;49,5;8,01;17,7;3,85;3,2;0;91,271;10,5;0;1,15;3,9;223;546;0;0,75;34,7;< 0,5;0,36;0,15;1,14;0,49;0,38;51,4;0
fruits, légumes, légumineuses et oléagineux;Châtaigne, bouillie/cuite à l'eau;-;68,2;2;23;1,38;-;22,8;4,5;0,98;0;1,539;0,26;0;0,068;1,73;54;715;0;1;-;26,7;0,15;0,1;0,73;0,32;0,23;38;0
fruits, légumes, légumineuses et oléagineux;Châtaigne, grillée;-;40,5;3,17;47,9;2,2;10,6;32;5,1;1,2;0;2,441;0,41;0;0,005;0,91;33;592;0;0,5;7,8;26;0,24;0,18;1,34;0,55;0,5;70;0
fruits, légumes, légumineuses et oléagineux;Noix, fraîche;-;41,9;11;9,94;31,8;1,3;< 0,35;3,9;1,49;0;60,27;2,93;0;< 0,013;1,5;120;390;< 0,25;1,6;2,04;< 0,5;0,21;0,12;0,38;1,06;0,16;108;0
fruits, légumes, légumineuses et oléagineux;Châtaigne, crue;-;51;1,81;36,5;2,23;7,86;28,6;7,45;1,02;0;3,8905;0,37;0;0,0081;0,94;34,5;550;0;0,5;-;41,6;0,22;0,1;1,47;0,48;0,35;60;0
fruits, légumes, légumineuses et oléagineux;Pignon de pin;-;2,45;13,7;6,31;65;5,21;1,1;10;2,52;0;111,91;5,53;0;0,023;4,6;227;662;0;8,47;53,9;< 0,5;0,57;0,11;3,29;0,26;0,14;80,2;0
fruits, légumes, légumineuses et oléagineux;Noix de pécan;-;2,57;9,57;5,43;72,6;3,64;0,46;8,33;1,5;0;140,24;6,62;0;0,0025;2,57;123;409;0;1,4;3,5;0,97;0,59;0,12;1,17;0,82;0,2;19,8;0
fruits, légumes, légumineuses et oléagineux;Noix de macadamia;-;1,36;7,91;5,22;75,8;4,24;0,98;8,6;1,14;0;81,186;11,8;0;0,013;3,69;130;368;0;0,54;-;1,2;1,2;0,16;2,47;0,76;0,28;11;0
fruits, légumes, légumineuses et oléagineux;Cucurbitacées, graine;-;5,23;30,2;4,71;49,1;1,4;1,47;6;4,78;0;91,079;8,66;0;0,018;8,82;592;809;0;2,18;7,3;1,9;0,27;0,15;4,99;0,75;0,14;58;0
fruits, légumes, légumineuses et oléagineux;Luzerne, graine germée;-;92,8;3,28;0,91;0,7;0,2;-;1,9;0,4;0;1,07;0,069;0;0,015;0,96;27;79;0;0,02;30,5;8,2;0,076;0,13;0,48;0,56;0,034;36;0
fruits, légumes, légumineuses et oléagineux;Luzerne, graine;-;7,4;29,7;39,3;12,6;-;-;7,9;3,1;0;0;-;-;-;12,9;-;-;-;-;-;26;1,08;0,58;1,8;-;-;-;-
fruits, légumes, légumineuses et oléagineux;Noisette grillée;-;2,52;14,4;5,21;66;4,26;0,96;9,4;2,45;0;64,02;4,51;0;-;4,38;173;755;0;15,3;-;3,8;0,34;0,12;2,05;0,92;0,62;88;0
fruits, légumes, légumineuses et oléagineux;Lin, graine;-;5,93;20,2;6,6;36,6;1,55;0;27,3;3,36;0;63,987;3,17;0;0,051;10,2;372;641;0;0,31;4,3;0,6;1,22;0,2;3,08;0,99;0,63;93,7;0
fruits, légumes, légumineuses et oléagineux;Sésame, graine décortiquée;-;3,58;21,1;4,5;56,1;0,48;-;11,9;2,88;0;102,67;8,1;0;0,073;6,36;348;419;0;1,68;0;0;0,75;0,17;5,16;0,17;0,6;106;0
fruits, légumes, légumineuses et oléagineux;Cacahuète, grillée à sec, salée;-;2;21,6;18,2;47,7;3,7;12,1;7,4;3,1;0;50,734;7;1,77;1,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
